planType,payerName,planId,deductible,premium,copays,benefits
Humana USAA Honor (PPO),Humana,Plan ID: H5216-301-4,$0,"$5,900 In and Out-of-network $5,000 In-network",Primary doctor: $0 copay Specialist: $35 copay per visit,PLAN BENEFITS  Vision is available  Dental is available  Hearing is available  Transportation is not available  Fitness benefits is available  Worldwide emergency is available  Telehealth is available See more benefits
Humana USAA Honor (PPO),Humana,Plan ID: H5216-315-0,$0,"$13,300 In and Out-of-network $8,850 In-network",Primary doctor: $0 copay Specialist: $50 copay per visit,PLAN BENEFITS  Vision is available  Dental is available  Hearing is available  Transportation is not available  Fitness benefits is available  Worldwide emergency is available  Telehealth is available See more benefits
HumanaChoice H5216-247 (PPO),Humana,Plan ID: H5216-247-0,$0,"$11,000 In and Out-of-network $6,500 In-network",Primary doctor: $0 copay Specialist: $30 copay per visit,PLAN BENEFITS  Vision is available  Dental is available  Hearing is available  Transportation is not available  Fitness benefits is available  Worldwide emergency is available  Telehealth is available See more benefits
Humana Gold Plus H5619-057 (HMO),Humana,Plan ID: H5619-057-0,$0,"$5,700 In-network",Primary doctor: $0 copay Specialist: $25 copay per visit,PLAN BENEFITS  Vision is available  Dental is available  Hearing is available  Transportation is not available  Fitness benefits is available  Worldwide emergency is available  Telehealth is available See more benefits
AARP Medicare Advantage from UHC WA-0007 (HMO-POS),UnitedHealthcare,Plan ID: H3805-032-0,$0,"$5,900 In-network",Primary doctor: $0 copay Specialist: $0-30 copay per visit,PLAN BENEFITS  Vision is available  Dental is available  Hearing is available  Transportation is not available  Fitness benefits is available  Worldwide emergency is available  Telehealth is available See more benefits
AARP Medicare Advantage from UHC WA-0006 (HMO-POS),UnitedHealthcare,Plan ID: H3805-017-0,$0,"$6,300 In-network",Primary doctor: $0 copay Specialist: $0-45 copay per visit,PLAN BENEFITS  Vision is available  Dental is available  Hearing is available  Transportation is not available  Fitness benefits is available  Worldwide emergency is available  Telehealth is available See more benefits
Aetna Medicare Eagle Plan (PPO),Aetna Medicare,Plan ID: H5521-330-0,$0,"$8,950 In and Out-of-network $5,500 In-network",Primary doctor: $0 copay Specialist: $35 copay per visit,PLAN BENEFITS  Vision is available  Dental is available  Hearing is available  Transportation is not available  Fitness benefits is available  Worldwide emergency is available  Telehealth is available See more benefits
Aetna Medicare SmartFit Plan (PPO),Aetna Medicare,Plan ID: H5521-431-0,$0,"$10,000 In and Out-of-network $6,900 In-network",Primary doctor: $0 copay Specialist: $45 copay per visit,PLAN BENEFITS  Vision is available  Dental is available  Hearing is available  Transportation is not available  Fitness benefits is available  Worldwide emergency is available  Telehealth is available See more benefits
Aetna Medicare Value Plan (HMO-POS),Aetna Medicare,Plan ID: H3931-126-0,$0,"$6,700 In-network",Primary doctor: $0 copay Specialist: $40 copay per visit,PLAN BENEFITS  Vision is available  Dental is available  Hearing is available  Transportation is not available  Fitness benefits is available  Worldwide emergency is available  Telehealth is available See more benefits
Aetna Medicare Preferred Plan (PPO),Aetna Medicare,Plan ID: H5521-380-0,$0,"$10,000 In and Out-of-network $6,900 In-network",Primary doctor: $0 copay Specialist: $40 copay per visit,PLAN BENEFITS  Vision is available  Dental is available  Hearing is available  Transportation is not available  Fitness benefits is available  Worldwide emergency is available  Telehealth is available See more benefits
